branch_name,product_name,variant_name,flavor_name,inventory_item_name,quantity_required,unit,required_from_user,notes
,Flavored Fries,Regular,Cheese,Cheese Powder,0.5,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet (tablespoon-based); no verified tbsp->g conversion exists.
,Flavored Fries,Regular,BBQ,BBQ Powder,0.5,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Regular,Sour Cream,Sour Cream Powder,0.5,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Regular,White Cheddar,White Cheddar Powder,0.5,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Regular,Sour Cheese,Sour Cheese Powder,0.5,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Regular,Chili BBQ,Chili BBQ Powder,0.5,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Regular,Chili Cheese,Chili Cheese Powder,0.5,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Regular,Sweet Corn,Sweet Corn Powder,0.5,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Large,Cheese,Cheese Powder,1,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Large,BBQ,BBQ Powder,1,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Large,Sour Cream,Sour Cream Powder,1,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Large,White Cheddar,White Cheddar Powder,1,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Large,Sour Cheese,Sour Cheese Powder,1,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Large,Chili BBQ,Chili BBQ Powder,1,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Large,Chili Cheese,Chili Cheese Powder,1,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Large,Sweet Corn,Sweet Corn Powder,1,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Jumbo,Cheese,Cheese Powder,1.5,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Jumbo,BBQ,BBQ Powder,1.5,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Jumbo,Sour Cream,Sour Cream Powder,1.5,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Jumbo,White Cheddar,White Cheddar Powder,1.5,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Jumbo,Sour Cheese,Sour Cheese Powder,1.5,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Jumbo,Chili BBQ,Chili BBQ Powder,1.5,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Jumbo,Chili Cheese,Chili Cheese Powder,1.5,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Jumbo,Sweet Corn,Sweet Corn Powder,1.5,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Mega,Cheese,Cheese Powder,2,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Mega,BBQ,BBQ Powder,2,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Mega,Sour Cream,Sour Cream Powder,2,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Mega,White Cheddar,White Cheddar Powder,2,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Mega,Sour Cheese,Sour Cheese Powder,2,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Mega,Chili BBQ,Chili BBQ Powder,2,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Mega,Chili Cheese,Chili Cheese Powder,2,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Mega,Sweet Corn,Sweet Corn Powder,2,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Giga,Cheese,Cheese Powder,3.5,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Giga,BBQ,BBQ Powder,3.5,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Giga,Sour Cream,Sour Cream Powder,3.5,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
