branch_name,product_name,variant_name,flavor_name,inventory_item_name,quantity_required,unit,required_from_user,notes
,Flavored Fries,Regular,Cheese,Cheese Powder,,,YES,
,Flavored Fries,Regular,BBQ,BBQ Powder,,,YES,
,Flavored Fries,Regular,Sour Cream,Sour Cream Powder,,,YES,
,Flavored Fries,Regular,White Cheddar,White Cheddar Powder,,,YES,
,Flavored Fries,Regular,Sour Cheese,Sour Cheese Powder,,,YES,
,Flavored Fries,Regular,Chili BBQ,Chili BBQ Powder,,,YES,
,Flavored Fries,Regular,Chili Cheese,Chili Cheese Powder,,,YES,
,Flavored Fries,Regular,Sweet Corn,Sweet Corn Powder,,,YES,
,Flavored Fries,Large,Cheese,Cheese Powder,,,YES,
,Flavored Fries,Large,BBQ,BBQ Powder,,,YES,
,Flavored Fries,Large,Sour Cream,Sour Cream Powder,,,YES,
,Flavored Fries,Large,White Cheddar,White Cheddar Powder,,,YES,
,Flavored Fries,Large,Sour Cheese,Sour Cheese Powder,,,YES,
,Flavored Fries,Large,Chili BBQ,Chili BBQ Powder,,,YES,
,Flavored Fries,Large,Chili Cheese,Chili Cheese Powder,,,YES,
,Flavored Fries,Large,Sweet Corn,Sweet Corn Powder,,,YES,
,Flavored Fries,Jumbo,Cheese,Cheese Powder,,,YES,
,Flavored Fries,Jumbo,BBQ,BBQ Powder,,,YES,
,Flavored Fries,Jumbo,Sour Cream,Sour Cream Powder,,,YES,
,Flavored Fries,Jumbo,White Cheddar,White Cheddar Powder,,,YES,
,Flavored Fries,Jumbo,Sour Cheese,Sour Cheese Powder,,,YES,
,Flavored Fries,Jumbo,Chili BBQ,Chili BBQ Powder,,,YES,
,Flavored Fries,Jumbo,Chili Cheese,Chili Cheese Powder,,,YES,
,Flavored Fries,Jumbo,Sweet Corn,Sweet Corn Powder,,,YES,
,Flavored Fries,Mega,Cheese,Cheese Powder,,,YES,
,Flavored Fries,Mega,BBQ,BBQ Powder,,,YES,
,Flavored Fries,Mega,Sour Cream,Sour Cream Powder,,,YES,
,Flavored Fries,Mega,White Cheddar,White Cheddar Powder,,,YES,
,Flavored Fries,Mega,Sour Cheese,Sour Cheese Powder,,,YES,
,Flavored Fries,Mega,Chili BBQ,Chili BBQ Powder,,,YES,
,Flavored Fries,Mega,Chili Cheese,Chili Cheese Powder,,,YES,
,Flavored Fries,Mega,Sweet Corn,Sweet Corn Powder,,,YES,
,Flavored Fries,Giga,Cheese,Cheese Powder,,,YES,
,Flavored Fries,Giga,BBQ,BBQ Powder,,,YES,
,Flavored Fries,Giga,Sour Cream,Sour Cream Powder,,,YES,
,Flavored Fries,Giga,White Cheddar,White Cheddar Powder,,,YES,
,Flavored Fries,Giga,Sour Cheese,Sour Cheese Powder,,,YES,
,Flavored Fries,Giga,Chili BBQ,Chili BBQ Powder,,,YES,
,Flavored Fries,Giga,Chili Cheese,Chili Cheese Powder,,,YES,
,Flavored Fries,Giga,Sweet Corn,Sweet Corn Powder,,,YES,
,Flavored Fries,Tera,Cheese,Cheese Powder,,,YES,
,Flavored Fries,Tera,BBQ,BBQ Powder,,,YES,
,Flavored Fries,Tera,Sour Cream,Sour Cream Powder,,,YES,
,Flavored Fries,Tera,White Cheddar,White Cheddar Powder,,,YES,
,Flavored Fries,Tera,Sour Cheese,Sour Cheese Powder,,,YES,
,Flavored Fries,Tera,Chili BBQ,Chili BBQ Powder,,,YES,
,Flavored Fries,Tera,Chili Cheese,Chili Cheese Powder,,,YES,
,Flavored Fries,Tera,Sweet Corn,Sweet Corn Powder,,,YES,
