branch_name,inventory_item_name,item_type,stock_unit,cost_per_unit,reorder_level,notes
,Fries Base,RAW_MATERIAL,,,,
,Cooking Oil,RAW_MATERIAL,,,,
,Loopys Base,RAW_MATERIAL,,,,
,Chicken Pops,RAW_MATERIAL,,,,
,Cheese Powder,SEASONING,,,,
,BBQ Powder,SEASONING,,,,
,Sour Cream Powder,SEASONING,,,,
,White Cheddar Powder,SEASONING,,,,
,Sour Cheese Powder,SEASONING,,,,
,Chili BBQ Powder,SEASONING,,,,
,Chili Cheese Powder,SEASONING,,,,
,Sweet Corn Powder,SEASONING,,,,
,Regular Fries Cup,PACKAGING,,,,
,Large Fries Cup,PACKAGING,,,,
,Jumbo Fries Cup,PACKAGING,,,,
,Mega Fries Cup,PACKAGING,,,,
,Giga Fries Container,PACKAGING,,,,
,Tera Fries Container,PACKAGING,,,,
,Large Loopys Container,PACKAGING,,,,
,Mega Loopys Container,PACKAGING,,,,
,Regular Chicken Pops Container,PACKAGING,,,,
,Large Chicken Pops Container,PACKAGING,,,,
,Mega Chicken Pops Container,PACKAGING,,,,
,Large Mix & Max Box,PACKAGING,,,,
,Mega Mix & Max Box,PACKAGING,,,,
,Tera Mix & Max Box,PACKAGING,,,,
,Bottled Water,FINISHED_GOOD,,,,
,Soda,FINISHED_GOOD,,,,
,Tissue,PACKAGING,,,,OPTIONAL - confirm if tracked as inventory
,Fork,PACKAGING,,,,OPTIONAL - confirm if tracked as inventory
