branch_name,inventory_item_name,opening_quantity,unit,unit_cost,effective_date,notes
,Fries Base,,,,,
,Cooking Oil,,,,,
,Loopys Base,,,,,
,Chicken Pops,,,,,
,Cheese Powder,,,,,
,BBQ Powder,,,,,
,Sour Cream Powder,,,,,
,White Cheddar Powder,,,,,
,Sour Cheese Powder,,,,,
,Chili BBQ Powder,,,,,
,Chili Cheese Powder,,,,,
,Sweet Corn Powder,,,,,
,Regular Fries Cup,,,,,
,Large Fries Cup,,,,,
,Jumbo Fries Cup,,,,,
,Mega Fries Cup,,,,,
,Giga Fries Container,,,,,
,Tera Fries Container,,,,,
,Large Loopys Container,,,,,
,Mega Loopys Container,,,,,
,Regular Chicken Pops Container,,,,,
,Large Chicken Pops Container,,,,,
,Mega Chicken Pops Container,,,,,
,Large Mix & Max Box,,,,,
,Mega Mix & Max Box,,,,,
,Tera Mix & Max Box,,,,,
,Bottled Water,,,,,
,Soda,,,,,
,Tissue,,,,,OPTIONAL - confirm if tracked as inventory
,Fork,,,,,OPTIONAL - confirm if tracked as inventory
