branch_name,product_name,variant_name,inventory_item_name,mapping_type,quantity_required,unit,required_from_user,notes
,Flavored Fries,Regular,Fries Base,BASE,,,YES,
,Flavored Fries,Regular,Cooking Oil,BASE,,,YES,
,Flavored Fries,Regular,Regular Fries Cup,PACKAGING,,,YES,
,Flavored Fries,Large,Fries Base,BASE,,,YES,
,Flavored Fries,Large,Cooking Oil,BASE,,,YES,
,Flavored Fries,Large,Large Fries Cup,PACKAGING,,,YES,
,Flavored Fries,Jumbo,Fries Base,BASE,,,YES,
,Flavored Fries,Jumbo,Cooking Oil,BASE,,,YES,
,Flavored Fries,Jumbo,Jumbo Fries Cup,PACKAGING,,,YES,
,Flavored Fries,Mega,Fries Base,BASE,,,YES,
,Flavored Fries,Mega,Cooking Oil,BASE,,,YES,
,Flavored Fries,Mega,Mega Fries Cup,PACKAGING,,,YES,
,Flavored Fries,Giga,Fries Base,BASE,,,YES,
,Flavored Fries,Giga,Cooking Oil,BASE,,,YES,
,Flavored Fries,Giga,Giga Fries Container,PACKAGING,,,YES,
,Flavored Fries,Tera,Fries Base,BASE,,,YES,
,Flavored Fries,Tera,Cooking Oil,BASE,,,YES,
,Flavored Fries,Tera,Tera Fries Container,PACKAGING,,,YES,
,Loopys,Large,Loopys Base,BASE,,,YES,
,Loopys,Large,Large Loopys Container,PACKAGING,,,YES,
,Loopys,Mega,Loopys Base,BASE,,,YES,
,Loopys,Mega,Mega Loopys Container,PACKAGING,,,YES,
,Crunchy Chicken Pops,Regular,Chicken Pops,BASE,,,YES,
,Crunchy Chicken Pops,Regular,Regular Chicken Pops Container,PACKAGING,,,YES,
,Crunchy Chicken Pops,Large,Chicken Pops,BASE,,,YES,
,Crunchy Chicken Pops,Large,Large Chicken Pops Container,PACKAGING,,,YES,
,Crunchy Chicken Pops,Mega,Chicken Pops,BASE,,,YES,
,Crunchy Chicken Pops,Mega,Mega Chicken Pops Container,PACKAGING,,,YES,
,Mix & Max,Large Mix,Large Mix & Max Box,PACKAGING,,,YES,parent packaging only - snack contents defined in mix-max-snack-options-template.csv
,Mix & Max,Mega Mix,Mega Mix & Max Box,PACKAGING,,,YES,parent packaging only - snack contents defined in mix-max-snack-options-template.csv
,Mix & Max,Tera Mix,Tera Mix & Max Box,PACKAGING,,,YES,parent packaging only - snack contents defined in mix-max-snack-options-template.csv
,Drinks,Water,Bottled Water,FINISHED_GOOD,,,YES,
,Drinks,Soda,Soda,FINISHED_GOOD,,,YES,
